gamma,tdxy,zdamping,nbadballs
0.5,0.1,0.30000000000000004,549
0.5,0.1,0.4,549
0.5,0.1,0.5,547
0.5,0.1,0.6000000000000001,548
0.5,0.1,0.7000000000000001,548
0.5,0.1,0.8,549
0.5,0.1,0.9,549
0.5,0.1,1.0,547
0.5,0.1,1.1,547
0.5,0.1,1.2000000000000002,547
0.5,0.1,1.3,547
0.5,0.1,1.4000000000000001,547
0.5,0.1,1.5,547
0.5,0.1,1.6,547
0.5,0.1,1.7000000000000002,547
0.5,0.1,1.8,547
0.5,0.1,1.9000000000000001,547
0.5,0.1,2.0,547
0.5,0.2,0.1,591
0.5,0.2,0.2,574
0.5,0.2,0.30000000000000004,566
0.5,0.2,0.4,565
0.5,0.2,0.5,564
0.5,0.2,0.6000000000000001,562
0.5,0.2,0.7000000000000001,562
0.5,0.2,0.8,562
0.5,0.2,0.9,560
0.5,0.2,1.0,561
0.5,0.2,1.1,560
0.5,0.2,1.2000000000000002,560
0.5,0.2,1.3,561
0.5,0.2,1.4000000000000001,561
0.5,0.2,1.5,561
0.5,0.2,1.6,561
0.5,0.2,1.7000000000000002,561
0.5,0.2,1.8,561
0.5,0.2,1.9000000000000001,561
0.5,0.2,2.0,561
0.5,0.30000000000000004,0.1,600
0.5,0.30000000000000004,0.2,591
0.5,0.30000000000000004,0.30000000000000004,578
0.5,0.30000000000000004,0.4,573
0.5,0.30000000000000004,0.5,569
0.5,0.30000000000000004,0.6000000000000001,564
0.5,0.30000000000000004,0.7000000000000001,564
0.5,0.30000000000000004,0.8,564
0.5,0.30000000000000004,0.9,563
0.5,0.30000000000000004,1.0,563
0.5,0.30000000000000004,1.1,563
0.5,0.30000000000000004,1.2000000000000002,564
0.5,0.30000000000000004,1.3,564
0.5,0.30000000000000004,1.4000000000000001,564
0.5,0.30000000000000004,1.5,564
0.5,0.30000000000000004,1.6,564
0.5,0.30000000000000004,1.7000000000000002,564
0.5,0.30000000000000004,1.8,564
0.5,0.30000000000000004,1.9000000000000001,564
0.5,0.30000000000000004,2.0,564
0.5,0.4,0.1,607
0.5,0.4,0.2,592
0.5,0.4,0.30000000000000004,587
0.5,0.4,0.4,580
0.5,0.4,0.5,577
0.5,0.4,0.6000000000000001,572
0.5,0.4,0.7000000000000001,570
0.5,0.4,0.8,569
0.5,0.4,0.9,568
0.5,0.4,1.0,566
0.5,0.4,1.1,566
0.5,0.4,1.2000000000000002,566
0.5,0.4,1.3,566
0.5,0.4,1.4000000000000001,566
0.5,0.4,1.5,566
0.5,0.4,1.6,567
0.5,0.4,1.7000000000000002,566
0.5,0.4,1.8,565
0.5,0.4,1.9000000000000001,566
0.5,0.4,2.0,566
0.5,0.5,0.1,613
0.5,0.5,0.2,601
0.5,0.5,0.30000000000000004,597
0.5,0.5,0.4,592
0.5,0.5,0.5,586
0.5,0.5,0.6000000000000001,583
0.5,0.5,0.7000000000000001,581
0.5,0.5,0.8,579
0.5,0.5,0.9,577
0.5,0.5,1.0,577
0.5,0.5,1.1,576
0.5,0.5,1.2000000000000002,574
0.5,0.5,1.3,577
0.5,0.5,1.4000000000000001,574
0.5,0.5,1.5,575
0.5,0.5,1.6,574
0.5,0.5,1.7000000000000002,572
0.5,0.5,1.8,572
0.5,0.5,1.9000000000000001,572
0.5,0.5,2.0,572
0.5,0.6000000000000001,0.1,617
0.5,0.6000000000000001,0.2,607
0.5,0.6000000000000001,0.30000000000000004,604
0.5,0.6000000000000001,0.4,599
0.5,0.6000000000000001,0.5,594
0.5,0.6000000000000001,0.6000000000000001,592
0.5,0.6000000000000001,0.7000000000000001,589
0.5,0.6000000000000001,0.8,586
0.5,0.6000000000000001,0.9,584
0.5,0.6000000000000001,1.0,584
0.5,0.6000000000000001,1.1,582
0.5,0.6000000000000001,1.2000000000000002,582
0.5,0.6000000000000001,1.3,583
0.5,0.6000000000000001,1.4000000000000001,583
0.5,0.6000000000000001,1.5,582
0.5,0.6000000000000001,1.6,583
0.5,0.6000000000000001,1.7000000000000002,582
0.5,0.6000000000000001,1.8,582
0.5,0.6000000000000001,1.9000000000000001,579
0.5,0.6000000000000001,2.0,580
0.5,0.7000000000000001,0.1,619
0.5,0.7000000000000001,0.2,611
0.5,0.7000000000000001,0.30000000000000004,606
0.5,0.7000000000000001,0.4,599
0.5,0.7000000000000001,0.5,601
0.5,0.7000000000000001,0.6000000000000001,593
0.5,0.7000000000000001,0.7000000000000001,595
0.5,0.7000000000000001,0.8,592
0.5,0.7000000000000001,0.9,588
0.5,0.7000000000000001,1.0,587
0.5,0.7000000000000001,1.1,585
0.5,0.7000000000000001,1.2000000000000002,587
0.5,0.7000000000000001,1.3,585
0.5,0.7000000000000001,1.4000000000000001,586
0.5,0.7000000000000001,1.5,586
0.5,0.7000000000000001,1.6,585
0.5,0.7000000000000001,1.7000000000000002,585
0.5,0.7000000000000001,1.8,586
0.5,0.7000000000000001,1.9000000000000001,587
0.5,0.7000000000000001,2.0,585
0.5,0.8,0.1,621
0.5,0.8,0.2,612
0.5,0.8,0.30000000000000004,606
0.5,0.8,0.4,603
0.5,0.8,0.5,600
0.5,0.8,0.6000000000000001,597
0.5,0.8,0.7000000000000001,596
0.5,0.8,0.8,594
0.5,0.8,0.9,594
0.5,0.8,1.0,592
0.5,0.8,1.1,589
0.5,0.8,1.2000000000000002,588
0.5,0.8,1.3,584
0.5,0.8,1.4000000000000001,584
0.5,0.8,1.5,585
0.5,0.8,1.6,585
0.5,0.8,1.7000000000000002,582
0.5,0.8,1.8,584
0.5,0.8,1.9000000000000001,585
0.5,0.8,2.0,585
0.5,0.9,0.1,621
0.5,0.9,0.2,614
0.5,0.9,0.30000000000000004,607
0.5,0.9,0.4,604
0.5,0.9,0.5,602
0.5,0.9,0.6000000000000001,602
0.5,0.9,0.7000000000000001,599
0.5,0.9,0.8,598
0.5,0.9,0.9,599
0.5,0.9,1.0,600
0.5,0.9,1.1,594
0.5,0.9,1.2000000000000002,593
0.5,0.9,1.3,593
0.5,0.9,1.4000000000000001,592
0.5,0.9,1.5,592
0.5,0.9,1.6,591
